strategy,member_count,macro_ap,micro_ap,members,anchor_weight
pair_weighted,2,0.6082772016525269,0.7040908570346126,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_08_512-256_d0.45_lr0.001_s123.pt""]",0.5
pair_weighted,2,0.6082315444946289,0.7066160717501481,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_11_1536-768_d0.4_lr0.001_s42.pt""]",0.4
pair_weighted,2,0.6081756353378296,0.7050303929861271,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_03_1024-512_d0.45_lr0.001_s42.pt""]",0.6
pair_weighted,2,0.6081723570823669,0.7051718998055033,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_03_1024-512_d0.45_lr0.001_s42.pt""]",0.5
pair_weighted,2,0.6081470251083374,0.7061366067636831,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_05_1024-512_d0.4_lr0.0007_s42.pt""]",0.6
pair_weighted,2,0.6081230640411377,0.7065189959010933,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_05_1024-512_d0.4_lr0.0007_s42.pt""]",0.5
pair_weighted,2,0.6080816984176636,0.7040181202386386,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_08_512-256_d0.45_lr0.001_s123.pt""]",0.6
pair_weighted,2,0.6078373193740845,0.7084205297698122,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_09_1024-512_d0.4_lr0.001_s7.pt""]",0.30000000000000004
pair_weighted,2,0.6077967286109924,0.7043982848606268,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_09_768-384_d0.45_lr0.001_s42.pt""]",0.5
pair_weighted,2,0.6076854467391968,0.703496337409822,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_08_512-256_d0.45_lr0.001_s123.pt""]",0.4
